"Subject","Difficulty","Question","Option_A","Option_B","Option_C","Option_D","Correct_Answer","Explanation","Chapter"
"Physics","Easy","The acceleration due to gravity on Earth's surface is approximately?","10 m/s²","9.8 m/s²","8.8 m/s²","12 m/s²","Option_B","The standard value accepted is 9.8 m/s².","Gravitation"
"Physics","Easy","What is the SI unit of electric current?","Volt","Ohm","Ampere","Coulomb","Option_C","The ampere is the SI unit for electric current.","Electric Current"
"Physics","Easy","Which of the following is a scalar quantity?","Force","Velocity","Energy","Momentum","Option_C","Energy has magnitude but no direction, so it is scalar.","Physical Quantities"
"Physics","Easy","What is the work done when a force acts perpendicular to the direction of displacement?","Zero","Maximum","Minimum","Equal to displacement","Option_A","Work is zero if force and displacement are perpendicular.","Work, Energy and Power"
"Physics","Easy","Which mirror is used as a rear-view mirror in vehicles?","Concave","Convex","Plane","None","Option_B","Convex mirrors provide a wider field of view.","Ray Optics"
"Physics","Easy","What is the speed of light in vacuum?","3 x 10^8 m/s","1.5 x 10^8 m/s","3 x 10^6 m/s","1.5 x 10^6 m/s","Option_A","Light travels at 3 x 10^8 m/s in vacuum.","Electromagnetic Waves"
"Physics","Easy","Which gas is filled in electric bulbs?","Helium","Hydrogen","Nitrogen","Oxygen","Option_C","Nitrogen is commonly used to avoid oxidation of filament.","Current Electricity"
"Physics","Easy","Ohm's law relates which quantities?","V, I, R","M, V, T","W, F, d","P, Q, t","Option_A","V = IR is Ohm's law (Voltage, Current, Resistance).","Current Electricity"
"Physics","Easy","Which instrument measures atmospheric pressure?","Thermometer","Barometer","Hygrometer","Anemometer","Option_B","Barometer is used to measure pressure.","Properties of Gases"
"Physics","Easy","The phenomenon responsible for the twinkling of stars is?","Reflection","Refraction","Diffraction","Tyndall effect","Option_B","Refraction of starlight in atmosphere causes twinkling.","Wave Optics"
"Physics","Medium","Value of universal gravitational constant G is?","6.67 x 10^-11 N m²/kg²","9.8 m/s²","3 x 10^8 m/s","1.6 x 10^-19 C","Option_A","G is the constant value for gravitational force calculation.","Gravitation"
"Physics","Medium","If a body moves in a circle with uniform speed, which remains constant?","Speed","Velocity","Acceleration","Direction","Option_A","Only speed remains constant; direction of velocity changes continuously.","Circular Motion"
"Physics","Medium","A wire of resistance R is stretched to double its length, its new resistance is?","R/2","2R","4R","R/4","Option_C","R increases four times, since resistance ∝ length² when volume is constant.","Current Electricity"
"Physics","Medium","Which law gives the direction of induced emf?","Ohm's Law","Lenz's Law","Faraday's Law","Coulomb's Law","Option_B","Lenz's law determines the direction of induced emf.","Electromagnetic Induction"
"Physics","Medium","If the frequency of a sound is increased, then its wavelength in air?","Increases","Decreases","Remains same","Fluctuates","Option_B","For constant velocity, increasing frequency means shorter wavelength.","Waves and Sound"
"Physics","Medium","Who discovered the electron?","Rutherford","Thomson","Planck","Bohr","Option_B","J.J. Thomson discovered electron using cathode ray tube.","Structure of Atom"
"Physics","Medium","What is the value of 1 electron volt in joules?","1.6 x 10^-19 J","6.02 x 10^23 J","9.11 x 10^-31 J","3 x 10^8 J","Option_A","1eV is the energy gained by electron moving through 1V.","Modern Physics"
"Physics","Medium","The relation between wavelength (λ), speed (v), and frequency (f) of a wave is?","λ = vf","v = λf","f = λv","v = f/λ","Option_B","v = fλ is the fundamental wave equation.","Waves and Sound"
"Physics","Medium","Which of the following is not a fundamental unit?","Metre","Second","Newton","Kilogram","Option_C","Newton is a derived unit (kg·m/s²), not fundamental.","Units and Measurements"
"Physics","Medium","Charge on a proton is?","+1.6 x 10^-19 C","-1.6 x 10^-19 C","+1.6 x 10^-23 C","0 C","Option_A","A proton has +1.6 x 10^-19 coulomb.","Structure of Atom"
"Physics","Hard","A ball is thrown upwards with a velocity of 20 m/s. Time to reach maximum height is? (g = 10 m/s²)","2 s","1 s","1.5 s","0.5 s","Option_A","t = u/g = 20/10 = 2 s.","Kinematics"
"Physics","Hard","The SI unit of permittivity (ε₀) is?","C²/N·m²","Nm²/C²","C²/N·m","N·m/C²","Option_A","Permittivity has unit C²/N·m².","Electrostatics"
